Day,P2P Buying Price (Rs),BTC Rate (USD),USD to LKR Price,BTC vs LKR,P2P Premium
2022-11-24,380.45,16615.36784,368.5,6122763.04904,11.949999999999989
2022-11-25,380.43,16590.12697,367.5,6096871.661475,12.930000000000007
2022-11-26,380.79,16520.13877,367.5,6071150.997975,13.29000000000002
2022-11-27,379.98,16461.04265,367.5,6049433.173874999,12.480000000000018
2022-11-28,379.7,16436.81574,368.5,6056966.60019,11.199999999999989
2022-11-29,379.3,16199.89021,367.5,5953459.652175,11.800000000000011
2022-11-30,378.3,16445.68458,368.5,6060234.76773,9.800000000000011
2022-12-01,376.95,17164.12983,368.5,6324981.842355001,8.449999999999989
2022-12-02,375.47,16977.46881,368.5,6256197.256484999,6.970000000000027
2022-12-03,376.9,17092.55203,368.5,6298605.423055,8.399999999999977
2022-12-04,376.35,16885.87929,368.5,6222446.518365,7.850000000000023
2022-12-05,376.3,17106.05426,367.5,6286474.94055,8.800000000000011
2022-12-06,376.39,16966.26648,367.5,6235102.931399999,8.889999999999986
2022-12-07,375.9,17088.47434,367.5,6280014.31995,8.399999999999977
2022-12-08,375.68,16837.47193,367.5,6187770.934274999,8.180000000000007
2022-12-09,376.14,17224.67184,367.5,6330066.901199999,8.639999999999986
2022-12-10,375.9,17128.85088,367.5,6294852.698400001,8.399999999999977
2022-12-11,375.35,17127.55657,367.5,6294377.039475,7.850000000000023
2022-12-12,375.13,17085.39719,367.5,6278883.467325,7.6299999999999955
2022-12-13,375.11,17209.36047,367.5,6324439.972725,7.610000000000014
2022-12-14,375.27,17776.55406,363.0,6452889.123779999,12.269999999999982
2022-12-15,377.49,17802.79989,367.5,6542528.959574999,9.990000000000009
2022-12-16,377.9,17356.01287,367.5,6378334.7297249995,10.399999999999977
2022-12-17,377.95,16631.84149,367.5,6112201.747575,10.449999999999989
2022-12-18,377.77,16780.97049,367.5,6167006.655075,10.269999999999982
2022-12-19,378.38,16739.10285,365.0,6109772.54025,13.379999999999995
2022-12-20,378.08,16438.8591,363.0,5967305.853300001,15.079999999999984
2022-12-21,377.73,16897.05932,363.0,6133632.53316,14.730000000000018
2022-12-22,377.65,16825.02549,363.0,6107484.25287,14.649999999999977
2022-12-23,377.24,16821.59484,363.0,6106238.92692,14.240000000000009
2022-12-24,377.0,16778.05673,363.0,6090434.59299,14.0
2022-12-25,375.93,16833.57842,363.0,6110588.966460001,12.930000000000007
2022-12-26,375.98,16832.77049,363.0,6110295.68787,12.980000000000018
2022-12-27,375.94,16945.45132,363.0,6151198.82916,12.939999999999998
2022-12-28,376.69,16702.28493,363.0,6062929.429590001,13.689999999999998
2022-12-29,376.28,16547.69393,363.0,6006812.89659,13.279999999999973
2022-12-30,376.42,16634.60033,367.5,6113215.621275,8.920000000000016
2022-12-31,376.5,16613.62041,367.5,6105505.500675,9.0
2023-01-01,376.5,16541.83045,367.5,6079122.690375,9.0
2023-01-02,376.6,16617.33671,363.0,6032093.22573,13.600000000000023
2023-01-03,376.4,16673.41871,363.0,6052450.991730001,13.399999999999977
2023-01-04,376.65,16675.61272,363.0,6053247.41736,13.649999999999977
2023-01-05,376.6,16850.57563,363.0,6116758.95369,13.600000000000023
2023-01-06,377.0,16831.42102,363.0,6109805.83026,14.0
2023-01-07,376.5,16950.61564,363.0,6153073.47732,13.5
2023-01-08,376.5,16943.42494,363.0,6150463.25322,13.5
2023-01-09,376.34,17133.03283,367.5,6296389.565025,8.839999999999975
2023-01-10,376.43,,367.5,,8.930000000000007
2023-01-11,376.15,17446.13412,366.5,6394008.154979999,9.649999999999977
2023-01-12,375.99,17954.95471,367.5,6598445.855925,8.490000000000009
2023-01-13,375.89,18852.16567,366.0,6899892.63522,9.889999999999986
2023-01-14,375.3,19927.26223,366.0,7293377.97618,9.300000000000011
2023-01-15,374.75,20931.03013,366.0,7660757.0275799995,8.75
2023-01-16,374.75,20862.15627,366.0,7635549.19482,8.75
2023-01-17,375.29,,365.0,,10.29000000000002
2023-01-18,374.73,21286.70485,362.0,7705787.155699999,12.730000000000018
2023-01-19,374.25,20670.55386,367.0,7586093.26662,7.25
2023-01-20,374.6,21075.72426,366.0,7713715.079159999,8.600000000000023
2023-01-21,373.9,22668.34008,366.0,8296612.469280001,7.899999999999977
2023-01-22,373.18,22774.63292,366.0,8335515.64872,7.180000000000007
2023-01-23,373.78,22698.65817,362.0,8216914.25754,11.779999999999973
2023-01-24,373.99,22915.93051,362.0,8295566.84462,11.990000000000009
2023-01-25,373.83,22616.83746,362.0,8187295.160519999,11.829999999999984
2023-01-26,373.35,23078.44361,362.0,8354396.58682,11.350000000000023
2023-01-27,373.49,23017.26048,362.0,8332248.293760001,11.490000000000009
2023-01-28,373.5,23064.47443,362.0,8349339.743659999,11.5
2023-01-29,372.88,23023.16673,362.0,8334386.356260001,10.879999999999995
2023-01-30,372.73,23742.77121,366.0,8689854.26286,6.730000000000018
2023-01-31,373.5,22824.85986,365.0,8331073.848900001,8.5
2023-02-01,373.3,23131.77333,366.0,8466229.03878,7.300000000000011
2023-02-02,373.6,23739.55294,366.0,8688676.37604,7.600000000000023
2023-02-03,373.92,23541.08803,365.0,8592497.13095,8.920000000000016
2023-02-04,374.07,23424.58055,365.0,8549971.90075,9.069999999999993
2023-02-05,373.2,23315.76514,365.0,8510254.2761,8.199999999999989
2023-02-06,374.7,22933.32056,365.25,8376395.33454,9.449999999999989
2023-02-07,373.79,22749.99189,365.5,8315122.035795,8.29000000000002
2023-02-08,373.5,23257.05516,365.5,8500453.66098,8.0
2023-02-09,374.3,22970.42584,365.5,8395690.64452,8.800000000000011
2023-02-10,377.5,21802.41244,365.0,7957880.5406,12.5
2023-02-11,374.75,21628.13074,365.0,7894267.7201000005,9.75
2023-02-12,374.69,21856.8903,365.0,7977764.9595,9.689999999999998
2023-02-13,377.0,21779.36386,365.0,7949467.8089000005,12.0
2023-02-14,376.5,21772.12198,365.0,7946824.5227,11.5
2023-02-15,375.0,22186.79119,365.0,8098178.78435,10.0
2023-02-16,374.75,24338.78865,365.0,8883657.85725,9.75
2023-02-17,375.7,23469.7309,365.5,8578186.64395,10.199999999999989
2023-02-18,374.99,24550.60537,365.5,8973246.262735,9.490000000000009
2023-02-19,374.7,24623.81102,365.5,9000002.92781,9.199999999999989
2023-02-20,374.5,24298.25936,359.32,8730850.5532352,15.180000000000007
2023-02-21,373.87,24838.08267,365.0,9065900.17455,8.870000000000005
2023-02-22,374.48,24440.85714,365.0,8920912.8561,9.480000000000018
2023-02-23,376.0,24190.00684,365.0,8829352.4966,11.0
